target,ip address,domain name,type
b2b.sony.com,72.52.6.42,b2b.sony.com,host
blog.sony.com,50.16.46.36,blog.sony.com,alias
blog.sony.com,34.194.180.113,blog.asgardmap.net,alias
blog.sony.com,34.194.180.113,sonyblog-prod-elb-a8ee5u3eeo2g-721611743.us-east-1.elb.amazonaws.com,host
blog.sony.com,50.16.46.36,sonyblog-prod-elb-a8ee5u3eeo2g-721611743.us-east-1.elb.amazonaws.com,host
careers.sony.com,63.240.80.166,careers.sony.com,host
community.sony.com,208.74.205.253,community.sony.com,alias
community.sony.com,208.74.205.253,sony.lithium.com,host
developer.sony.com,52.222.183.48,developer.sony.com,alias
developer.sony.com,52.222.183.32,d8b8fjubrvoiy.cloudfront.net,host
developer.sony.com,52.222.183.48,d8b8fjubrvoiy.cloudfront.net,host
developer.sony.com,52.222.183.30,d8b8fjubrvoiy.cloudfront.net,host
developer.sony.com,52.222.183.61,d8b8fjubrvoiy.cloudfront.net,host
developer.sony.com,52.222.183.158,d8b8fjubrvoiy.cloudfront.net,host
developer.sony.com,52.222.183.22,d8b8fjubrvoiy.cloudfront.net,host
developer.sony.com,52.222.183.15,d8b8fjubrvoiy.cloudfront.net,host
developer.sony.com,52.222.183.37,d8b8fjubrvoiy.cloudfront.net,host
direct.sony.com,160.33.68.239,direct.sony.com,host
docs.sony.com,160.33.196.45,docs.sony.com,host
download.sony.com,54.230.216.230,download.sony.com,alias
download.sony.com,54.230.216.127,d3qh96l7mdkskt.cloudfront.net,host
download.sony.com,54.230.216.230,d3qh96l7mdkskt.cloudfront.net,host
download.sony.com,54.230.216.144,d3qh96l7mdkskt.cloudfront.net,host
download.sony.com,54.230.216.115,d3qh96l7mdkskt.cloudfront.net,host
download.sony.com,54.230.216.67,d3qh96l7mdkskt.cloudfront.net,host
download.sony.com,54.230.216.172,d3qh96l7mdkskt.cloudfront.net,host
download.sony.com,54.230.216.28,d3qh96l7mdkskt.cloudfront.net,host
download.sony.com,54.230.216.19,d3qh96l7mdkskt.cloudfront.net,host
edu.sony.com,160.33.129.8,edu.sony.com,host
enterprise.sony.com,160.33.129.22,enterprise.sony.com,host
foundry.sony.com,64.244.122.26,foundry.sony.com,host
ftp.sony.com,160.33.66.4,ftp.sony.com,alias
ftp.sony.com,160.33.66.4,ftp.fw-sd.sony.com,host
int.sony.com,160.33.129.10,int.sony.com,host
jp.sony.com,146.215.0.32,jp.sony.com,host
my.sony.com,160.33.129.103,my.sony.com,host
ns1.sony.com,160.33.195.5,ns1.sony.com,host
ns1.sony.com,160.33.66.21,ns1.sony.com,host
ns2.sony.com,160.33.195.4,ns2.sony.com,alias
ns2.sony.com,160.33.195.4,ns21.sony.com,host
ns3.sony.com,160.33.66.20,ns3.sony.com,host
ns4.sony.com,160.33.195.5,ns4.sony.com,alias
ns4.sony.com,160.33.195.5,ns22.sony.com,host
ns5.sony.com,160.33.66.21,ns5.sony.com,host
ps.sony.com,69.36.128.92,ps.sony.com,host
q.sony.com,173.230.217.88,q.sony.com,host
secure.sony.com,64.37.182.63,secure.sony.com,host
store.sony.com,23.47.237.214,store.sony.com,alias
store.sony.com,23.47.237.214,store.sony.edgekey.net,alias
store.sony.com,23.47.237.214,e6587.b.akamaiedge.net,host
test.sony.com,173.230.203.198,test.sony.com,host
us.sony.com,160.33.26.10,us.sony.com,host
world.sony.com,202.238.100.207,world.sony.com,alias
world.sony.com,202.238.100.207,sony.net,host
www.sony.com,104.120.59.203,www.sony.com,alias
www.sony.com,104.120.59.203,www.gwt-usca.edgekey.net,alias
www.sony.com,104.120.59.203,e9131.dscb.akamaiedge.net,host
www2.sony.com,198.83.178.23,www2.sony.com,alias
www2.sony.com,198.83.178.23,imagprod.sel.sony.com,host
